Date_Time (LST/LDT), Event, Speed (knots)
2022-08-18 01:33 AM, flood, 2.25
2022-08-18 04:49 AM, slack, -
2022-08-18 07:31 AM, ebb, -1.58
2022-08-18 11:01 AM, slack, -
2022-08-18 02:03 PM, flood, 2.21
2022-08-18 05:19 PM, slack, -
2022-08-18 07:55 PM, ebb, -1.56
2022-08-18 11:31 PM, slack, -
2022-08-19 02:33 AM, flood, 2.18
2022-08-19 05:49 AM, slack, -
2022-08-19 08:25 AM, ebb, -1.44
2022-08-19 12:01 PM, slack, -
2022-08-19 03:03 PM, flood, 2.05
2022-08-19 06:13 PM, slack, -
2022-08-19 08:55 PM, ebb, -1.47
2022-08-20 12:25 AM, slack, -
2022-08-20 03:39 AM, flood, 2.15
2022-08-20 06:49 AM, slack, -
2022-08-20 09:31 AM, ebb, -1.34
2022-08-20 01:01 PM, slack, -
2022-08-20 04:03 PM, flood, 1.96
2022-08-20 07:07 PM, slack, -
2022-08-20 09:55 PM, ebb, -1.43
2022-08-21 01:25 AM, slack, -
2022-08-21 04:39 AM, flood, 2.18
2022-08-21 07:55 AM, slack, -
2022-08-21 10:37 AM, ebb, -1.31
2022-08-21 02:01 PM, slack, -
2022-08-21 05:03 PM, flood, 1.95
2022-08-21 08:07 PM, slack, -
2022-08-21 10:55 PM, ebb, -1.44
2022-08-22 02:25 AM, slack, -
2022-08-22 05:39 AM, flood, 2.27
2022-08-22 08:49 AM, slack, -
2022-08-22 11:37 AM, ebb, -1.35
2022-08-22 03:01 PM, slack, -
2022-08-22 06:03 PM, flood, 1.99
2022-08-22 09:01 PM, slack, -
2022-08-22 11:55 PM, ebb, -1.49
2022-08-23 03:19 AM, slack, -
2022-08-23 06:33 AM, flood, 2.39
2022-08-23 09:43 AM, slack, -
2022-08-23 12:31 PM, ebb, -1.44
2022-08-23 03:55 PM, slack, -
2022-08-23 06:51 PM, flood, 2.08
2022-08-23 09:49 PM, slack, -
2022-08-24 12:43 AM, ebb, -1.57
2022-08-24 04:07 AM, slack, -
2022-08-24 07:21 AM, flood, 2.50
2022-08-24 10:31 AM, slack, -
2022-08-24 01:19 PM, ebb, -1.53
2022-08-24 04:43 PM, slack, -
2022-08-24 07:39 PM, flood, 2.17
2022-08-24 10:37 PM, slack, -
